AGE,GENDER,OCCUPATION:,INCOME (RM XXXX):,MARITAL STATUS,What is your travelling duration?,Why you usually travel?,What is your budget for travelling?,How long do you plan for your travel?,Usually where do you plan to stay?,Travelling frequency,Travelling Transportation,Do you prefer using tour guide?,Do you prefer travelling local or overseas?,Language preferences,Do you prefer solo or group travel?
7,0,0,1500,1,0,1,5,0,1,0,0,0,0,0,1
16,0,1,3200,0,0,1,5,1,4,0,0,1,0,0,0
5,1,0,0,1,0,1,5,0,3,1,0,0,0,0,0
14,1,1,6500,1,0,2,1,0,4,1,3,0,1,1,1
3,0,1,3000,1,1,1,4,1,0,1,3,0,0,2,0
5,0,1,300,1,1,2,5,0,0,1,0,0,0,1,0
12,1,1,5300,0,0,1,2,0,1,0,2,0,0,1,0
6,1,0,0,1,0,1,5,1,4,0,0,0,0,0,0
14,1,1,2500,0,0,2,5,0,0,1,0,0,0,0,1
14,1,1,15000,0,2,0,3,2,4,1,3,0,1,1,0
10,0,1,1670,0,1,1,1,2,4,1,3,0,0,1,1
5,1,0,0,1,0,1,5,1,0,0,0,0,0,0,0
14,1,1,5500,1,1,2,2,1,0,2,0,1,0,1,1
6,1,1,3000,1,0,1,5,0,2,1,1,1,1,0,1
7,0,1,6500,0,1,0,1,1,0,1,1,0,0,0,1
9,1,1,3500,1,0,0,1,0,4,0,0,0,0,0,1
6,1,0,500,1,0,2,5,0,4,0,1,0,0,0,0
30,1,1,8000,0,2,1,2,4,3,1,0,0,0,0,0
9,1,1,4000,1,0,0,1,0,4,1,0,0,0,0,1
5,1,0,0,1,1,1,2,1,0,0,3,0,1,0,0
8,1,0,0,1,1,3,5,1,4,0,0,0,0,0,0
8,1,0,0,1,0,1,5,0,0,0,0,0,0,0,1
